읍면동,종합라벨,시장,추천종목_1,추천종목_2,추천종목_3,추천종목_4,추천종목_5,region_id,stock_ids
수진1동,중장년균형형_건설업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,296,"[195, 196, 270, 279, 198]"
수진2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,297,"[238, 248, 256, 195, 196]"
수진2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,297,[]
수택1동,중장년균형형_숙박 및 음식점업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,179,"[195, 196, 270, 279, 198]"
수택1동,중장년균형형_숙박 및 음식점업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,179,[]
수택2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,180,"[238, 248, 256, 195, 196]"
수택2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,180,[]
수택3동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,181,[]
수택3동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,181,"[238, 248, 256, 195, 196]"
숭의1·3동,청년성장형_건설업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1170,[]
